collocation,template_found
A-Line Dress,TRUE
Graphic T-Shirt Dress,TRUE
Pullover Hoodie,FALSE
Pullover Sweatshirt,FALSE
Lightweight Hoodie,FALSE
Sweatshirt Jersey,FALSE
Zipped Hoodie,FALSE
Leggings,FALSE
Mini Skirt,FALSE
Socks,FALSE
Classic T-Shirt,TRUE
Essential T-Shirt,TRUE
Tri-Blend T-Shirt,TRUE
Fitted T-Shirt,TRUE
Active T-Shirt,TRUE
Relaxed Fit T-Shirt,TRUE
Chiffon Top,FALSE
Sleeveless Top,FALSE
Premium Scoop T-shirt,TRUE
Racerback Tank Top,FALSE
Tank Top,FALSE
Long Sleeve T-Shirt,TRUE
V-Neck T-Shirt,TRUE
Baseball ¾ Sleeve T-Shirt,TRUE
Backpack,TRUE
Drawstring Bag,FALSE
Duffle Bag,FALSE
Zipper Pouch,FALSE
Mask,FALSE
Pin,FALSE
Scarf,FALSE
iPad Case & Skin,TRUE
Laptop Skin,FALSE
iPhone Wallet,TRUE
Laptop Sleeve,TRUE
Tote Bag,FALSE
Travel Mug,FALSE
Water Bottle,FALSE
Case & Skin for Samsung Galaxy,TRUE
iPhone Case & Cover,TRUE
Sticker,FALSE
Greeting Card,FALSE
Hardcover Journal,FALSE
Postcard,FALSE
Spiral Notebook,FALSE
Art Board Print,TRUE
Art Print,FALSE
Canvas Print,FALSE
Framed Art Print,TRUE
Metal Print,FALSE
Mounted Print,TRUE
Photographic Print,FALSE
Poster,FALSE
Tapestry,TRUE
Acrylic Block,FALSE
Apron,FALSE
Bath Mat,FALSE
Coasters (Set of 4),TRUE
Clock,FALSE
Comforter,TRUE
Duvet Cover,TRUE
Floor Pillow,TRUE
Jigsaw Puzzle,FALSE
Magnet,FALSE
Mug,FALSE
Shower Curtain,TRUE
Throw Blanket,TRUE
Throw Pillow,TRUE
Baby One-Piece,FALSE
Baby T-Shirt,TRUE
Kids Pullover Hoodie,FALSE
Toddler Pullover Hoodie,FALSE
Luggage,TRUE
Slip-On Sneakers,TRUE
Low-Top Sneakers,TRUE
High-Top Sneakers,TRUE
Flip Flops,FALSE
Espadrilles,FALSE
Adult Cloth Face Mask,FALSE
Kids Cloth Face Mask,FALSE
Face Mask,FALSE
Hand Sanitizer,FALSE
Area Rug,TRUE
Throw Blanket,TRUE
Wall Tapestry,TRUE
Wall Mural,TRUE
Pillow Sham,TRUE
Fanny Pack,FALSE
Wood Wall Art,FALSE
Mini Art Print,FALSE
Rug,TRUE
Credenza,FALSE
Wall Clock,FALSE
Wall Hangings,TRUE
Rectangular Pillow,TRUE
Blackout Curtains,FALSE
Sheer Curtains,FALSE
Wallpaper,FALSE
Bench,FALSE
Bar Stool,FALSE
Hand & Bath Towels,FALSE
Cutting Board,FALSE
Apple Watch Band,FALSE
Yoga Mat,FALSE
Can Cooler,FALSE
Beach Towel,TRUE
Welcome Mat,FALSE
Picnic Blanket,TRUE
